CASEID,SEX,RACE,SCHLCOLL,ACTIVITY,DURATION
20160201161034,1,100,5,120303,30
20160201161034,1,100,5,10101,195
20160201161047,1,100,5,10101,240
20160201161047,1,100,5,10201,30
20160201161047,1,100,5,110101,30
20160201161047,1,100,5,180601,30
20160201161047,1,100,5,60101,690
20160201161047,1,100,5,180601,30
20160201161047,1,100,5,20603,60
20160201161047,1,100,5,20201,45
20160201161047,1,100,5,120303,165
20160201161047,1,100,5,10101,120
20160201161172,1,100,5,10101,285
20160201161172,1,100,5,20201,20
20160201161172,1,100,5,110101,20
20160201161172,1,100,5,30103,45
20160201161172,1,100,5,30101,20
20160201161172,1,100,5,180302,10
20160201161172,1,100,5,30103,100
20160201161172,1,100,5,180302,10
20160201161172,1,100,5,110101,25
20160201161172,1,100,5,120303,20
20160201161172,1,100,5,30101,15
20160201161172,1,100,5,120303,105
20160201161172,1,100,5,180704,10
20160201161172,1,100,5,70104,30
20160201161172,1,100,5,180905,15
20160201161172,1,100,5,90501,35
20160201161172,1,100,5,180703,10
20160201161172,1,100,5,70103,3
20160201161172,1,100,5,70105,12
20160201161172,1,100,5,180703,10
20160201161172,1,100,5,120101,25
20160201161172,1,100,5,110101,40
20160201161172,1,100,5,30103,120
20160201161172,1,100,5,30101,10
20160201161172,1,100,5,20101,20
20160201161172,1,100,5,60301,105
20160201161172,1,100,5,120303,180
20160201161172,1,100,5,10101,140
20160201161553,1,110,5,10101,75
20160201161553,1,110,5,10201,60
20160201161553,1,110,5,20201,15
20160201161553,1,110,5,180501,10
20160201161553,1,110,5,50101,320
20160201161553,1,110,5,110101,30
20160201161553,1,110,5,50101,240
20160201161553,1,110,5,180501,10
20160201161553,1,110,5,60301,45
20160201161553,1,110,5,180302,10
20160201161553,1,110,5,30112,10
20160201161553,1,110,5,180302,10
20160201161553,1,110,5,20201,15
20160201161553,1,110,5,30106,20
20160201161553,1,110,5,60301,60
20160201161553,1,110,5,30101,20
20160201161553,1,110,5,120303,30
20160201161553,1,110,5,10101,460
20160201161921,1,131,5,10101,360
20160201161921,1,131,5,10201,30
20160201161921,1,131,5,110101,60
20160201161921,1,131,5,120303,60
20160201161921,1,131,5,181301,30
20160201161921,1,131,5,130134,30
20160201161921,1,131,5,130126,180
20160201161921,1,131,5,120301,60
20160201161921,1,131,5,181206,30
20160201161921,1,131,5,60301,120
20160201161921,1,131,5,110101,60
20160201161921,1,131,5,10201,30
20160201161921,1,131,5,120312,30
20160201161921,1,131,5,10101,360
20160201161941,1,100,5,10101,150
20160201161941,1,100,5,10201,60
20160201161941,1,100,5,110101,30
20160201161941,1,100,5,180501,35
20160201161941,1,100,5,50101,85
20160201161941,1,100,5,120308,15
20160201161941,1,100,5,50101,105
20160201161941,1,100,5,110101,40
20160201161941,1,100,5,50101,230
20160201161941,1,100,5,180501,35
20160201161941,1,100,5,20101,60
20160201161941,1,100,5,10201,30
20160201161941,1,100,5,110101,60
20160201161941,1,100,5,120303,175
20160201161941,1,100,5,50101,90
20160201161941,1,100,5,10201,15
20160201161941,1,100,5,10101,225
20160201161968,1,120,5,10101,240
20160201161968,1,120,5,60301,180
20160201161968,1,120,5,110101,30
20160201161968,1,120,5,120313,90
20160201161968,1,120,5,60301,240
20160201161968,1,120,5,110101,60
20160201161968,1,120,5,10101,120
20160201161968,1,120,5,60301,150
20160201161968,1,120,5,120308,60
20160201161968,1,120,5,10101,270
20160201162128,1,100,5,10101,270
20160201162128,1,100,5,60301,330
20160201162128,1,100,5,180405,3
20160201162128,1,100,5,40401,177
20160201162128,1,100,5,180405,3
20160201162128,1,100,5,10201,30
20160201162128,1,100,5,500103,3
20160201162128,1,100,5,181101,40
20160201162128,1,100,5,110101,104
20160201162128,1,100,5,180405,40
20160201162128,1,100,5,40401,30
20160201162128,1,100,5,180405,3
20160201162128,1,100,5,60301,227
20160201162128,1,100,5,10201,10
20160201162128,1,100,5,10101,170
20160201162191,1,100,5,10101,300
20160201162191,1,100,5,20102,120
20160201162191,1,100,5,20203,15
20160201162191,1,100,5,20101,25
20160201162191,1,100,5,120303,20
20160201162191,1,100,5,180704,15
20160201162191,1,100,5,70104,10
20160201162191,1,100,5,180704,15
20160201162191,1,100,5,60301,90
20160201162191,1,100,5,120303,110
20160201162191,1,100,5,10201,15
20160201162191,1,100,5,181206,15
20160201162191,1,100,5,120303,150
20160201162191,1,100,5,110101,25
20160201162191,1,100,5,120303,245
20160201162191,1,100,5,181206,15
20160201162191,1,100,5,10101,255
20160201162476,1,131,5,10101,195
20160201162476,1,131,5,10201,45
20160201162476,1,131,5,181101,1
20160201162476,1,131,5,110101,20
20160201162476,1,131,5,180601,15
20160201162476,1,131,5,60101,74
20160201162476,1,131,5,180601,15
20160201162476,1,131,5,60301,120
20160201162476,1,131,5,181101,1
20160201162476,1,131,5,110101,25
20160201162476,1,131,5,180601,15
20160201162476,1,131,5,60101,50
20160201162476,1,131,5,180601,15
20160201162476,1,131,5,60301,90
20160201162476,1,131,5,120307,120
20160201162476,1,131,5,180703,5
20160201162476,1,131,5,70105,10
20160201162476,1,131,5,70103,1
20160201162476,1,131,5,180703,5
20160201162476,1,131,5,110101,15
20160201162476,1,131,5,60301,150
20160201162476,1,131,5,120307,180
20160201162476,1,131,5,10102,63
20160201162476,1,131,5,10101,210
20160202161991,1,100,5,10101,240
20160202161991,1,100,5,60301,120
20160202161991,1,100,5,130134,60
20160202161991,1,100,5,110101,60
20160202161991,1,100,5,120312,60
20160202161991,1,100,5,180601,40
20160202161991,1,100,5,60101,170
20160202161991,1,100,5,60301,90
20160202161991,1,100,5,60101,180
20160202161991,1,100,5,180601,60
20160202161991,1,100,5,120303,60
20160202161991,1,100,5,120312,60
20160202161991,1,100,5,10101,240
20160212151318,1,100,5,10201,20
20160212151318,1,100,5,500106,25
20160212151318,1,100,5,180603,75
20160212151318,1,100,5,60301,60
20160212151318,1,100,5,60101,300
20160212151318,1,100,5,180601,60
20160212151318,1,100,5,10101,30
20160212151318,1,100,5,10201,5
20160212151318,1,100,5,130133,120
20160212151318,1,100,5,10201,30
20160212151318,1,100,5,110101,60
20160212151318,1,100,5,60301,240
20160212151318,1,100,5,10101,415
20160212151409,1,100,5,10101,450
20160212151409,1,100,5,181301,30
20160212151409,1,100,5,130133,90
20160212151409,1,100,5,180601,5
20160212151409,1,100,5,60101,75
20160212151409,1,100,5,180601,30
20160212151409,1,100,5,20201,10
20160212151409,1,100,5,110101,5
20160212151409,1,100,5,120303,115
20160212151409,1,100,5,181206,30
20160212151409,1,100,5,120306,15
20160212151409,1,100,5,50101,195
20160212151409,1,100,5,180501,30
20160212151409,1,100,5,110101,10
20160212151409,1,100,5,10201,20
20160212151409,1,100,5,120308,30
20160212151409,1,100,5,10101,300
20160212151795,1,100,5,10101,300
20160212151795,1,100,5,20303,240
20160212151795,1,100,5,30103,60
20160212151795,1,100,5,20801,120
20160212151795,1,100,5,20401,240
20160212151795,1,100,5,10201,30
20160212151795,1,100,5,120303,330
20160212151795,1,100,5,20102,120
20160212152508,1,100,5,10101,240
20160212152508,1,100,5,10201,45
20160212152508,1,100,5,180601,15
20160212152508,1,100,5,180601,60
20160212152508,1,100,5,180601,10
20160212152508,1,100,5,60101,75
20160212152508,1,100,5,181101,5
20160212152508,1,100,5,110101,30
20160212152508,1,100,5,180603,5
20160212152508,1,100,5,60301,10
20160212152508,1,100,5,60101,75
20160212152508,1,100,5,180601,10
20160212152508,1,100,5,180601,60
20160212152508,1,100,5,180601,15
20160212152508,1,100,5,20603,60
20160212152508,1,100,5,110101,60
20160212152508,1,100,5,120101,105
20160212152508,1,100,5,10201,15
20160212152508,1,100,5,181301,10
20160212152508,1,100,5,130134,90
20160212152508,1,100,5,181101,5
20160212152508,1,100,5,110101,15
20160212152508,1,100,5,181101,10
20160212152508,1,100,5,10201,20
20160212152508,1,100,5,120303,95
20160212152508,1,100,5,10101,300
20160301161499,1,100,5,10101,120
20160301161499,1,100,5,110101,15
20160301161499,1,100,5,30109,45
20160301161499,1,100,5,180302,30
20160301161499,1,100,5,30112,1
20160301161499,1,100,5,180501,30
20160301161499,1,100,5,50101,239
20160301161499,1,100,5,181101,10
20160301161499,1,100,5,110101,20
20160301161499,1,100,5,180501,10
20160301161499,1,100,5,50101,320
20160301161499,1,100,5,180501,5
20160301161499,1,100,5,30112,5
20160301161499,1,100,5,181501,5
20160301161499,1,100,5,150204,90
20160301161499,1,100,5,181501,5
20160301161499,1,100,5,110101,30
20160301161499,1,100,5,10201,20
20160301161499,1,100,5,130134,30
20160301161499,1,100,5,30101,10
20160301161499,1,100,5,10201,5
20160301161499,1,100,5,120312,30
20160301161499,1,100,5,10101,365
20160302160830,1,110,5,10101,240
20160302160830,1,110,5,20904,1
20160302160830,1,110,5,10201,15
20160302160830,1,110,5,20603,5
20160302160830,1,110,5,180805,35
20160302160830,1,110,5,80502,60
20160302160830,1,110,5,120303,120
20160302160830,1,110,5,80501,30
20160302160830,1,110,5,180805,45
20160302160830,1,110,5,120303,109
20160302160830,1,110,5,10201,30
20160302160830,1,110,5,110101,20
20160302160830,1,110,5,20603,10
20160302160830,1,110,5,180501,15
20160302160830,1,110,5,50101,225
20160302160830,1,110,5,180501,15
20160302160830,1,110,5,120303,105
20160302160830,1,110,5,10201,2
20160302160830,1,110,5,10102,48
20160302160830,1,110,5,10101,310
20160302160843,1,110,5,10101,120
20160302160843,1,110,5,20602,5
20160302160843,1,110,5,110101,5
20160302160843,1,110,5,500106,20
20160302160843,1,110,5,180501,20
20160302160843,1,110,5,50101,430
20160302160843,1,110,5,110101,30
20160302160843,1,110,5,50101,110
20160302160843,1,110,5,180501,30
20160302160843,1,110,5,10201,30
20160302160843,1,110,5,181204,20
20160302160843,1,110,5,120499,260
20160302160843,1,110,5,181204,20
20160302160843,1,110,5,10101,340
20160302161279,1,100,5,10101,90
20160302161279,1,100,5,20201,5
20160302161279,1,100,5,30108,5
