CASEID,SEX,RACE,SCHLCOLL,ACTIVITY,DURATION
20160112151329,2,100,5,180802,5
20160112151329,2,100,5,20902,10
20160112151329,2,100,5,181101,15
20160112151329,2,100,5,181101,15
20160112151329,2,100,5,110101,30
20160112151329,2,100,5,180603,5
20160112151329,2,100,5,60301,222
20160112151329,2,100,5,180406,15
20160112151329,2,100,5,180406,10
20160112151329,2,100,5,40507,10
20160112151329,2,100,5,180503,30
20160112151329,2,100,5,50303,20
20160112151329,2,100,5,60301,90
20160112151329,2,100,5,10201,25
20160112151329,2,100,5,120101,280
20160112151329,2,100,5,10101,120
20160112151351,2,100,5,10101,240
20160112151351,2,100,5,110101,30
20160112151351,2,100,5,120303,60
20160112151351,2,100,5,20101,150
20160112151351,2,100,5,110101,30
20160112151351,2,100,5,20101,90
20160112151351,2,100,5,181201,3
20160112151351,2,100,5,120101,120
20160112151351,2,100,5,181201,3
20160112151351,2,100,5,120303,60
20160112151351,2,100,5,20201,45
20160112151351,2,100,5,110101,30
20160112151351,2,100,5,20101,60
20160112151351,2,100,5,120303,129
20160112151351,2,100,5,10101,390
20160112151439,2,100,5,10101,210
20160112151439,2,100,5,20201,5
20160112151439,2,100,5,60301,60
20160112151439,2,100,5,30101,15
20160112151439,2,100,5,10201,45
20160112151439,2,100,5,180501,25
20160112151439,2,100,5,50101,120
20160112151439,2,100,5,180501,15
20160112151439,2,100,5,30112,10
20160112151439,2,100,5,180704,5
20160112151439,2,100,5,70104,30
20160112151439,2,100,5,180704,5
20160112151439,2,100,5,30503,10
20160112151439,2,100,5,181202,30
20160112151439,2,100,5,120201,300
20160112151439,2,100,5,181202,20
20160112151439,2,100,5,120201,130
20160112151439,2,100,5,181202,10
20160112151439,2,100,5,30101,20
20160112151439,2,100,5,120303,70
20160112151439,2,100,5,60301,30
20160112151439,2,100,5,10201,25
20160112151439,2,100,5,10101,250
20160112151807,2,100,5,10101,240
20160112151807,2,100,5,10201,45
20160112151807,2,100,5,20201,10
20160112151807,2,100,5,180601,30
20160112151807,2,100,5,60101,185
20160112151807,2,100,5,180601,30
20160112151807,2,100,5,20602,20
20160112151807,2,100,5,181101,10
20160112151807,2,100,5,110101,30
20160112151807,2,100,5,181101,10
20160112151807,2,100,5,60301,200
20160112151807,2,100,5,120101,60
20160112151807,2,100,5,20602,10
20160112151807,2,100,5,181301,10
20160112151807,2,100,5,130134,60
20160112151807,2,100,5,189999,5
20160112151807,2,100,5,181101,10
20160112151807,2,100,5,110101,60
20160112151807,2,100,5,180406,10
20160112151807,2,100,5,40507,1
20160112151807,2,100,5,180406,15
20160112151807,2,100,5,20603,30
20160112151807,2,100,5,120312,74
20160112151807,2,100,5,20602,5
20160112151807,2,100,5,10101,280
20160112151815,2,100,5,10101,270
20160112151815,2,100,5,120312,120
20160112151815,2,100,5,110101,60
20160112151815,2,100,5,20101,120
20160112151815,2,100,5,20201,15
20160112151815,2,100,5,110101,30
20160112151815,2,100,5,120303,120
20160112151815,2,100,5,10201,60
20160112151815,2,100,5,60301,60
20160112151815,2,100,5,10299,30
20160112151815,2,100,5,110101,30
20160112151815,2,100,5,120101,120
20160112151815,2,100,5,120303,180
20160112151815,2,100,5,10201,15
20160112151815,2,100,5,10101,210
20160112151823,2,100,5,10101,240
20160112151823,2,100,5,500101,30
20160112151823,2,100,5,20201,60
20160112151823,2,100,5,180209,15
20160112151823,2,100,5,20903,5
20160112151823,2,100,5,180704,5
20160112151823,2,100,5,70104,275
20160112151823,2,100,5,180703,2
20160112151823,2,100,5,70103,2
20160112151823,2,100,5,110101,116
20160112151823,2,100,5,180601,30
20160112151823,2,100,5,60101,225
20160112151823,2,100,5,110101,15
20160112151823,2,100,5,60101,30
20160112151823,2,100,5,180601,30
20160112151823,2,100,5,110101,5
20160112151823,2,100,5,120303,10
20160112151823,2,100,5,10101,345
20160112152201,2,110,5,10101,420
20160112152201,2,110,5,181101,30
20160112152201,2,110,5,110101,90
20160112152201,2,110,5,180704,5
20160112152201,2,110,5,70104,60
20160112152201,2,110,5,180704,30
